word,date,word_cnt_page
kitchen,2018-04-25,6
kitchen,2018-05-09,4
kitchen,2018-05-23,3
kitchen,2018-06-06,5
kitchen,2018-06-20,6
kitchen,2018-07-18,6
kitchen,2018-09-12,12
kitchen,2018-09-26,14
kitchen,2018-10-10,7
kitchen,2018-10-24,10
kitchen,2018-11-07,9
kitchen,2018-12-05,3
kitchen,2019-01-16,4
kitchen,2019-01-30,8
kitchen,2019-02-13,4
kitchen,2019-02-27,13
kitchen,2019-03-13,8
kitchen,2019-03-27,6
kitchen,2019-04-10,10
kitchen,2019-04-24,12
kitchen,2019-05-08,6
kitchen,2019-05-22,4
kitchen,2019-06-05,3
kitchen,2019-06-19,6
kitchen,2019-07-03,10
kitchen,2019-07-17,10
kitchen,2019-07-31,9
kitchen,2019-08-14,3
kitchen,2019-08-28,7
kitchen,2019-09-11,15
kitchen,2019-09-25,10
kitchen,2019-10-09,3
kitchen,2019-10-25,9
kitchen,2019-11-06,1
kitchen,2019-11-20,5
kitchen,2019-12-04,20
kitchen,2019-12-18,9
kitchen,2020-01-02,6
kitchen,2020-01-29,7
kitchen,2020-02-12,6
kitchen,2020-02-26,5
kitchen,2020-03-11,6
kitchen,2020-03-25,6
kitchen,2020-04-08,5
kitchen,2020-04-22,4
kitchen,2020-05-06,4
kitchen,2020-05-20,3
kitchen,2020-06-03,3
kitchen,2020-06-17,7
kitchen,2020-07-01,3
kitchen,2020-07-15,6
kitchen,2020-07-29,3
kitchen,2020-08-12,6
kitchen,2020-08-26,5
kitchen,2020-09-09,18
kitchen,2020-09-23,5
kitchen,2020-10-07,7
kitchen,2020-10-21,8
kitchen,2020-11-04,6
kitchen,2020-11-18,16
kitchen,2020-12-02,5
kitchen,2020-12-16,13
kitchen,2021-01-06,4
kitchen,2021-02-03,7
kitchen,2021-02-17,11
kitchen,2021-03-03,7
kitchen,2021-04-14,4
kitchen,2021-05-12,8
kitchen,2021-05-26,5
kitchen,2021-06-23,8
kitchen,2021-07-07,2
kitchen,2021-07-21,8
kitchen,2021-08-04,9
kitchen,2021-08-18,13
kitchen,2021-09-01,6
kitchen,2021-09-15,15
kitchen,2021-09-21,3
kitchen,2021-10-13,4
kitchen,2021-10-21,5
kitchen,2021-11-10,6
kitchen,2021-12-08,6
kitchen,2021-12-21,3
kitchen,2022-01-05,9
kitchen,2022-01-19,6
kitchen,2022-02-16,8
kitchen,2022-02-22,8
kitchen,2022-03-02,6
kitchen,2022-03-16,5
kitchen,2022-03-30,2
kitchen,2022-04-13,9
kitchen,2022-04-27,6
kitchen,2022-05-11,8
kitchen,2022-05-25,4
kitchen,2022-06-08,15
kitchen,2022-06-22,4
kitchen,2022-07-06,4
kitchen,2022-07-22,5
kitchen,2022-08-03,2
kitchen,2022-08-17,4
kitchen,2022-08-31,1
kitchen,2022-09-14,3
sunken,2017-06-21,1
sunken,2017-08-02,1
sunken,2017-08-16,1
sunken,2018-12-05,2
sunken,2019-01-30,1
sunken,2019-02-13,1
sunken,2019-02-27,1
sunken,2019-03-13,1
sunken,2019-04-10,1
sunken,2019-07-31,1
sunken,2019-11-06,1
sunken,2019-11-20,2
sunken,2019-12-18,1
sunken,2020-07-01,1
sunken,2020-08-26,1
sunken,2020-09-23,1
sunken,2020-10-07,1
sunken,2020-11-04,1
sunken,2022-01-19,1
sunken,2022-08-17,1
